ANNEE;COLL_NOM;COLL_SIRET;COLL_TYPE;ACTE_DATE;ACTE_REF;ATTRIB_NOM;ATTRIB_SIRET;SUB_OBJ;SUB_MONTANT;Notification à la commission Européenne
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;GROUPEMENT DE JEUNES CAP OUEST;81931613400000.0;"Subvention affectée au groupement CAP OUEST qui concerne 80 enfants de 6 à 17 ans et qui est issu de la fusion de trois clubs du territoire de Poitiers Ouest avec l'ASPTT et le Baroc pour Poitiers, et les cheminots de Biard.

Objectifs généraux :
- Permettre aux jeunes l'accès au sport sur le territoire de Poitiers Ouest
- Créer du lien entre les acteurs sociaux, associatifs et les parents
- Développer l'accès au sport féminin
- Impulser des solutions pour le sport pour tous
- Lutter contre les insivilités, la violence et les discriminations dans le sport.";4000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;LES ARCHERS DE POITIERS SUD - APS;49261138900000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du tir à l'arc. L'équipe phare évolue au niveau régional.
L'association dispose de 20 licenciés et adhérents.";800.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;MANIFESTATIONS ET ACTIVITES NAUTIQUES LIEES AU TOURISME AQUATIQUE ET SUBAQUATIQUE - CLUB MANTAS;80779064700000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique de la plongée. L'association dispose de 111 adhérents. Elle
intervient chaque été dans le cadre du Pass Sport.";1300.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;POITIERS CEP BASKETBALL;34872048300000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du basket-ball. L'équipe phare évolue au niveau régional. L'association dispose de 216 licenciés et adhérents. Elle mène une politique éducative et sociale conséquente.";7800.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;STADE POITEVIN BASEBALL-SOFTBALL;44332107000000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du base-ball. L'équipe phare évolue au niveau régional.
L'association dispose de 12 licenciés et adhérents.";1000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;STADE POITEVIN GYMNASTIQUE - SPG;39853380200000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique de la gymnastique. L'équipe phare évolue au niveau inter-régional.
L'association dispose de 458 licenciés et adhérents.";10000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;STADE POITEVIN RUGBY - SPR;32286917300000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du rugby. L'équipe phare évolue au niveau interrégional. L'association dispose de 456 licenciés et adhérents.";78200.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;STADE POITEVIN TENNIS DE TABLE - SPTT;45409285900000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du tennis de table. L'équipe phare évolue au niveau régional.
L'association dispose de 364 licenciés et adhérents.";7000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;TWIRLING CLUB POITIERS;44142926300000.0;"Association intégrée au dispositif des critères.
Subvention pour la pratique du twirling. L'équipe phare évolue au niveau inter-régional. L'association dispose de 44 licenciés et adhérents.";1600.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;ASSOCIATION DE GESTION ET D'ANIMATION DE LA MAISON DE LA GIBAUDERIE;47858355200000.0;Subvention permettant la réalisation des objectifs prévus dans les statuts de l'association.;108324.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;ASSOCIATION DU CENTRE SOCIOCULTUREL DE LA BLAISERIE;32075384100000.0;Subvention permettant la réalisation des objectifs prévus dans les statuts de l'association.;658821.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;COURONNERIES DEMAIN;81439055500000.0;Subvention permettant la réalisation des objectifs prévus dans les statuts de l'association. Une avance de 500 000 € a été votée au conseil municipal du 5 décembre 2016.;231010.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;SAINT-ELOI VIVRE ENSEMBLE - SEVE;53952807500000.0;Subvention permettant la réalisation des objectifs prévus dans les statuts de l'association.;197000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0026;ORTHO SHAMSS;51034241300000.0;Soutien aux initiatives des étudiants en orthophonie de Poitiers en matière de solidarité internationale (projet humanitaire au Maroc) mais aussi de solidarité locale à Poitiers pour participer à une plus grande intégration et à une meilleure connaissance de l'orthophonie, et plus largement du handicap.;300.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0026;UNION DE LA VIENNE DES DELEGUES DEPARTEMENTAUX DE L'EDUCATION NATIONALE;43352726400000.0;Soutien au fonctionnement de l'Association des Délégués Départementaux de l'Education Nationale, personnes qualifiées  nommées en Comission Départementale de l'Education Nationale (sous couvert du Préfet) pour assurer un rôle d'inspection et de médiation dans les écoles publiques de la Vienne, notamment à Poitiers.;250.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0043;ASSOC. D'ENTRAIDE DES PERSONNES ACCUEILLIES A LA PROTECTION DE L'ENFANCE DU DEPARTEMENT 86;40128346000000.0;Participation au fonctionnement de l'association - Entraide et insertion sociale des Pupilles de l'Etat et du Département de la Vienne.;100.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0043;ASSOCIATION REGIONALE DE CARDIOLOGIE DE POITOU-CHARENTES;41040690400000.0;"Les objectifs de cette association : 
- informer et d’éduquer le public en vue de la prévention des maladies cardio-vasculaires,
- promouvoir et favoriser les recherches médicales,
- apporter une aide à la réadaptation et à la réinsertion des cardiaques dans la vie sociale.";400.0;NON
