nomAttribuant;idAttribuant;dateConvention;referenceDecision;idBeneficiaire;nomBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;44787766300016;FOOTBALL ASSOCIATION DE ROQUES;SUBVENTION 2016;7500.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;44135191300013;HANDBALL CLUB DE ROQUES;SUBVENTION 2016;14000.0;Aide en numéraire;Echelonné;2016-01-01_2016-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;40993872700016;ASSOCIATION DE DANSE A BAILAR;SUBVENTION 2016;500.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2015-01-20;DELIB 04FIN du 20/01/2015;81755555000018;ROQUES OLYMPIQUE-CLUB;SUBVENTION 2015;8100.0;Aide en numéraire;Unique;2015-01-01_2015-12-31;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;38392471900065;ASSOC FRANC CTRE CONSULTATION CONJUGALE;L’espace rencontres favorise la mise en relation entre parent et enfant. C’est un lieu de transition censé développer les ressources et les compétences éducatives des parents visant des situations conflictuelles ou problématiques, de sorte à permettr;2200.0;Aide en numéraire;;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;41457167900011;PLUME ET PAROLE;Proposer un espace d’accueil et d’apprentissage à tout adulte en difficulté par sa méconnaissance de la langue française et/ou de la culture française.;700.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;77568562101133;UNION FRANCAISE CENTRE VACANCES LOISIRS;L’UFCV a pour objet de susciter, de promouvoir et de développer l’animation socio-éducative, culturelle ou sociale, ainsi que des actions de formation et d’insertion. Le SIAM cherche à faciliter l’intégration d’enfants porteurs de handicap dans les s;3500.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-11-28;;18310005600039;CHAMBRE DE METIERS ET DE L'ARTISANAT;Accompagnement et suivi des artisans signataires de la Charte CERES (Charte des Entrepreneurs Responsables du Sicoval) en 2016.;5000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;44787766300016;FOOTBALL ASSOCIATION DE ROQUES;SUBVENTION 2017;7500.0;Aide en numéraire;Unique;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;43370620700019;GROUPE VOCAL DE ROQUES;SUBVENTION 2017;800.0;Aide en numéraire;Echelonné;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;43933069700012;COMITE ROQUES EN FETE;SUBVENTION 2017;16823.5;Aide en numéraire;Echelonné;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11-02-2016;48435336200011;JUDO-CLUB ROQUOIS;SUBVENTION 2016;1600.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;39838610200048;LA MAISON DE L'INITIATIVE;Coopérative d'activités de type généraliste, qui permet aux entrepreneurs de tester leur projet en grandeur nature sur une période de deux ans pour le valider et se former avant l’installation.;9000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;77693902700046;ACCUEIL ET FAMILLE ASS;L’association « Accueil et Famille » participe au protocole de médiation familiale signé par le Sicoval en organisant un service nommé « l’atelier familial » composé d’un point rencontre et de médiation familiale.;2500.0;Aide en numéraire;Unique;;;non;1.0
COMMUNE DE ROQUES;21310458100011;2015-01-20;DELIB 04FIN du 20/01/2015;48435336200011;JUDO-CLUB ROQUOIS;SUBVENTION 2015;1500.0;Aide en numéraire;Unique;2015-01-01_2015-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2016-02-11;DELIB 04FIN du 11/02/2016;81752622100012;ASSOCIATION COMMUNALE DE CHASSE AGREE DE ROQUES SUR GARONNE;SUBVENTION 2016;500.0;Aide en numéraire;Unique;2016-01-01_2016-12-31;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;39141136000038;REGARDS;Mener des actions dans le champ de la parentalité : acompagner des parents, des membres d’une parentèle et des professionnels, sensibiliser l’opinion publique, mettre en place des formations, participer à de la prévention et garantir l’accès égal de;5000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-08-29;;44930475700031;RESEAU ENTREPRENDRE MIDI-PYRENEES;Action d'orienter et accompagner les porteurs de projets avec des méthodes issues de l’entreprise;8000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-10-24;;43298866500027;INCUBATEUR MIDI PYRENEES;Soutien aux projets d'entreprises de l'incubateur;10000.0;Aide en numéraire;Unique;;;non;1.0
